"No.","Person","Total Gross","# Movies","Average","#1 Picture","Gross"
"1","Amy Adams","$1,483.7","21","$70.7","Man of Steel","$291.0"
"2","Ben Affleck","$1,694.0","34","$49.8","Armageddon","$201.6"
"3","Casey Affleck","$622.6","17","$36.6","Ocean's Eleven","$183.4"
"4","Dianna Agron","$131.2","3","$43.7","I Am Number Four","$55.1"
"5","Jessica Alba","$917.3","21","$43.7","Fantastic Four","$154.7"
"6","Alan Alda","$643.2","20","$32.2","What Women Want","$182.8"
"7","Joan Allen","$839.6","23","$36.5","The Bourne Ultimatum","$227.5"
"8","Tim Allen","$1,763.0","20","$88.1","Toy Story 3","$415.0"
"9","Woody Allen","$457.6","26","$17.6","Antz","$90.8"
"10","Gillian Anderson","$145.6","12","$12.1","X-Files","$83.9"
"11","Julie Andrews","$663.7","13","$51.1","Sound of Music","$158.7"
"12","Jennifer Aniston","$1,410.1","25","$56.4","Bruce Almighty","$242.8"
"13","Aziz Ansari","$168.6","3","$56.2","Epic","$107.5"
"14","Christina Applegate","$681.6","16","$42.6","Alvin and the Chipmunks 2","$219.6"
"15","Tom Arnold","$415.9","18","$23.1","True Lies","$146.3"
"16","Gemma Arterton","$513.6","11","$46.7","Quantum of Solace","$168.4"
"17","Kevin Bacon","$1,413.9","44","$32.1","Apollo 13","$173.8"
"18","Penn Badgley","$134.6","6","$22.4","Easy A","$58.4"
"19","Alec Baldwin","$1,983.1","45","$44.1","Pearl Harbor","$198.5"
"20","Christian Bale","$1,910.3","31","$61.6","The Dark Knight","$534.9"
"21","Eric Bana","$873.5","14","$62.4","Star Trek","$257.7"
"22","Anne Bancroft","$548.0","28","$19.6","The Graduate","$104.9"
"23","Antonio Banderas","$2,171.8","40","$54.3","Shrek 2","$441.2"
"24","Elizabeth Banks","$1,389.1","27","$51.4","The Hunger Games","$408.0"
"25","Javier Bardem","$521.1","14","$37.2","Skyfall","$304.4"
"26","Ben Barnes","$270.5","4","$67.6","The Chronicles of Narnia: Prince Caspian","$141.6"
"27","Drew Barrymore","$1,565.5","33","$47.4","E.T.","$435.1"
"28","Justin Bartha","$1,133.8","11","$103.1","The Hangover","$277.3"
"29","Jay Baruchel","$817.6","14","$58.4","How to Train Your Dragon","$217.6"
"30","Kim Basinger","$903.4","30","$30.1","Batman","$251.2"
"31","Angela Bassett","$808.9","21","$38.5","Green Lantern","$116.6"
"32","Jason Bateman","$1,355.4","24","$56.5","Hancock","$227.9"
"33","Kathy Bates","$2,164.1","42","$51.5","Titanic","$658.7"
"34","Sean Bean","$1,365.1","28","$48.8","Fellowship of the Ring","$315.5"
"35","Kate Beckinsale","$998.7","21","$47.6","Pearl Harbor","$198.5"
"36","Ashley Bell","$56.2","2","$28.1","The Last Exorcism","$41.0"
"37","Jamie Bell","$511.3","14","$36.5","King Kong","$218.1"
"38","Kristen Bell","$329.4","13","$25.3","Couples Retreat","$109.2"
"39","Lake Bell","$274.4","6","$45.7","It's Complicated","$112.7"
"40","Maria Bello","$875.2","26","$33.7","Grown Ups","$162.0"
"41","Monica Bellucci","$827.8","14","$59.1","Passion of the Christ","$370.8"
"42","Roberto Benigni","$88.9","11","$8.1","Life Is Beautiful","$57.6"
"43","Annette Bening","$592.7","23","$25.8","American Beauty","$130.1"
"44","Peter Berg","$151.8","3","$50.6","Collateral","$101.0"
"45","Gael Garcia Bernal","$101.0","18","$5.6","Babel","$34.3"
"46","Halle Berry","$1,622.0","28","$57.9","X-Men: The Last Stand","$234.4"
"47","Paul Bettany","$815.3","18","$45.3","The Da Vinci Code","$217.5"
"48","Justin Bieber","$73.0","1","$73.0","Justin Bieber","$73.0"
"49","Jessica Biel","$772.7","21","$36.8","I Now Pronounce You Chuck and Larry","$120.1"
"50","Rachel Bilson","$95.3","5","$19.1","Jumper","$80.2"
"51","Mike Binder","$19.1","2","$9.5","The Upside of Anger","$18.8"
"52","Jack Black","$1,392.3","21","$66.3","King Kong","$218.1"
"53","Lucas Black","$377.2","11","$34.3","42","$95.0"
"54","Cate Blanchett","$2,074.8","32","$64.8","Return of the King","$377.8"
"55","Nikki Blonsky","$118.9","3","$39.6","Hairspray (2007)","$118.9"
"56","Orlando Bloom","$2,302.3","15","$153.5","Dead Man's Chest","$423.3"
"57","Emily Blunt","$641.0","19","$33.7","The Devil Wears Prada","$124.7"
"58","Chadwick Boseman","$95.0","1","$95.0","42","$95.0"
"59","Kate Bosworth","$485.5","15","$32.4","Superman Returns","$200.1"
"60","Zach Braff","$278.1","5","$55.6","Oz The Great and Powerful","$234.9"
"61","Kenneth Branagh","$575.8","16","$36.0","Harry Potter / Chamber of Secrets","$262.0"
"62","Russell Brand","$1,032.1","9","$114.7","Despicable Me 2","$366.4"
"63","Marlon Brando","$552.1","11","$50.2","The Godfather","$135.0"
"64","Benjamin Bratt","$750.5","18","$41.7","Despicable Me 2","$366.4"
"65","Abigail Breslin","$1,061.6","18","$59.0","Signs","$228.0"
"66","Chris 'Ludacris' Bridges","$916.6","11","$83.3","Fast &amp; Furious 6","$238.7"
"67","Jeff Bridges","$1,577.8","47","$33.6","Iron Man","$318.4"
"68","Jim Broadbent","$994.6","36","$27.6","Harry Potter 6","$302.0"
"69","Matthew Broderick","$925.2","32","$28.9","Godzilla","$136.3"
"70","Adam Brody","$341.6","15","$22.8","Mr. &amp; Mrs. Smith","$186.3"
"71","Adrien Brody","$542.8","29","$18.7","King Kong","$218.1"
"72","Josh Brolin","$975.1","26","$37.5","MIB 3","$179.0"
"73","Albert Brooks","$716.2","19","$37.7","Finding Nemo","$380.8"
"74","Pierce Brosnan","$1,376.7","32","$43.0","Mrs. Doubtfire","$219.2"
"75","Chris Brown","$268.7","5","$53.7","Think Like a Man","$91.5"
"76","Emily Browning","$213.8","6","$35.6","Lemony Snicket","$118.6"
"77","Sandra Bullock","$2,090.9","33","$63.4","The Blind Side","$256.0"
"78","Billy Burke","$1,652.4","14","$118.0","The Twilight Saga: Eclipse","$300.5"
"79","Ty Burrell","$204.3","6","$34.0","The Incredible Hulk","$134.8"
"80","Gerard Butler","$1,130.3","25","$45.2","How to Train Your Dragon","$217.6"
"81","Amanda Bynes","$435.6","7","$62.2","Robots","$128.2"
"82","Rose Byrne","$858.3","17","$50.5","Bridesmaids","$169.1"
"83","Nicolas Cage","$2,392.7","54","$44.3","National Treasure: Book of Secrets","$220.0"
"84","Michael Caine","$2,940.1","53","$55.5","The Dark Knight","$534.9"
"85","Neve Campbell","$432.8","12","$36.1","Scream","$103.0"
"86","Steve Carell","$2,083.5","19","$109.7","Despicable Me 2","$366.4"
"87","Jim Carrey","$2,459.0","26","$94.6","The Grinch","$260.0"
"88","Helena Bonham Carter","$2,538.8","32","$79.3","Harry Potter / Deathly Hallows (P2)","$381.0"
"89","Dana Carvey","$241.6","7","$34.5","Wayne's World","$121.7"
"90","Katie Cassidy","$150.4","4","$37.6","Nightmare on Elm Street","$63.1"
"91","James Caviezel","$700.1","19","$36.8","Passion of the Christ","$370.8"
"92","Henry Cavill","$492.4","8","$61.6","Man of Steel","$291.0"
"93","Cedric the Entertainer","$1,352.2","24","$56.3","Madagascar 3","$216.4"
"94","John Cena","$31.3","3","$10.4","The Marine","$18.8"
"95","Michael Cera","$489.5","10","$49.0","Juno","$143.5"
"96","Jackie Chan","$1,256.6","23","$54.6","Rush Hour 2","$226.2"
"97","Jay Chandrasekhar","$41.6k","1","$41.6k","The Slammin' Salmon","$41.6k"
"98","Jessica Chastain","$637.9","11","$58.0","Madagascar 3","$216.4"
"99","Don Cheadle","$2,015.8","31","$65.0","Iron Man 3","$409.0"
"100","Cher","$373.1","11","$33.9","Moonstruck","$80.6"
"101","Jay Chou","$105.3","2","$52.7","The Green Hornet","$98.8"
"102","Erika Christensen","$188.8","10","$18.9","Flightplan","$89.7"
"103","Hayden Christensen","$862.8","9","$95.9","Revenge of the Sith","$380.3"
"104","Jamie Chung","$348.1","6","$58.0","The Hangover Part II","$254.5"
"105","Thomas Haden Church","$869.9","14","$62.1","Spider-Man 3","$336.5"
"106","Jemaine Clement","$252.4","4","$63.1","MIB 3","$179.0"
"107","George Clooney","$1,807.3","30","$60.2","Gravity","$245.5"
"108","Glenn Close","$1,027.9","30","$34.3","Air Force One","$173.0"
"109","Sacha Baron Cohen","$1,262.0","10","$126.2","Madagascar 3","$216.4"
"110","Toni Collette","$744.5","29","$25.7","Sixth Sense","$293.5"
"111","Lily Collins","$409.5","7","$58.5","The Blind Side","$256.0"
"112","Sean 'P. Diddy' Combs","$97.6","3","$32.5","Get Him to the Greek","$61.0"
"113","Common","$743.0","12","$61.9","Wanted","$134.5"
"114","Jennifer Connelly","$813.5","28","$29.1","A Beautiful Mind","$170.7"
"115","Sean Connery","$1,550.6","37","$41.9","Indiana Jones and the Last Crusade","$197.2"
"116","Steve Coogan","$1,227.9","20","$61.4","Despicable Me 2","$366.4"
"117","Jennifer Coolidge","$398.6","12","$33.2","Legally Blonde","$96.5"
"118","Bradley Cooper","$1,632.9","18","$90.7","The Hangover","$277.3"
"119","Chris Cooper","$1,265.1","29","$43.6","American Beauty","$130.1"
"120","Dominic Cooper","$415.1","13","$31.9","Captain America","$176.7"
"121","Sharlto Copley","$285.9","4","$71.5","District 9","$115.6"
"122","Sofia Coppola","$66.7","1","$66.7","The Godfather Part III","$66.7"
"123","John Corbett","$496.6","11","$45.1","My Big Fat Greek Wedding","$241.4"
"124","Abbie Cornish","$226.3","11","$20.6","Limitless","$79.2"
"125","Kevin Costner","$1,735.6","31","$56.0","Man of Steel","$291.0"
"126","Jai Courtney","$147.4","2","$73.7","Jack Reacher","$80.1"
"127","Brian Cox","$1,696.5","41","$41.4","X2: X-Men United","$214.9"
"128","Courteney Cox","$579.5","14","$41.4","Bedtime Stories","$110.1"
"129","Daniel Craig","$1,358.4","23","$59.1","Skyfall","$304.4"
"130","Bryan Cranston","$665.7","10","$66.6","Madagascar 3","$216.4"
"131","Chace Crawford","$78.3","4","$19.6","What to Expect When You're Expecting","$41.2"
"132","Amanda Crew","$128.7","4","$32.2","The Haunting in Connecticut","$55.4"
"133","Russell Crowe","$1,563.2","28","$55.8","Man of Steel","$291.0"
"134","Billy Crudup","$644.7","20","$32.2","Mission: Impossible III","$134.0"
"135","Tom Cruise","$3,292.0","34","$96.8","War of the Worlds","$234.3"
"136","Penelope Cruz","$781.6","31","$25.2","Pirates of the Caribbean 4","$241.1"
"137","Billy Crystal","$1,358.5","19","$71.5","Monsters, Inc.","$289.9"
"138","Ice Cube","$954.8","25","$38.2","21 Jump Street","$138.4"
"139","Macaulay Culkin","$712.8","11","$64.8","Home Alone","$285.8"
"140","Rory Culkin","$289.4","10","$28.9","Signs","$228.0"
"141","Kaley Cuoco","$108.1","1","$108.1","Hop","$108.1"
"142","John Cusack","$1,140.8","40","$28.5","2012","$166.1"
"143","Miley Cyrus","$321.9","4","$80.5","Bolt","$114.1"
"144","Willem Dafoe","$1,342.4","47","$28.6","Spider-Man","$403.7"
"145","Matt Damon","$2,644.6","36","$73.5","The Bourne Ultimatum","$227.5"
