"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Sony / Columbia","14.3%","$1,337.6","24","17","2003"
"2","2","Warner Bros.","12.9%","$1,214.2","28","22","2003"
"3","3","Buena Vista","12.4%","$1,159.1","28","20","2003"
"4","4","DreamWorks SKG","10.0%","$937.1","11","10","2003"
"5","5","20th Century Fox","9.9%","$930.0","18","14","2003"
"6","6","Universal","9.5%","$893.4","20","14","2003"
"7","7","Paramount","6.7%","$628.3","17","14","2003"
"8","8","New Line","4.6%","$430.2","14","10","2003"
"9","9","Newmarket","4.3%","$406.7","8","7","2003"
"10","10","Miramax","3.9%","$368.2","20","13","2003"
"11","11","Lionsgate","3.2%","$302.1","21","18","2003"
"12","12","MGM/UA","2.1%","$198.9","19","15","2003"
"13","13","Fox Searchlight","1.8%","$172.9","11","10","2003"
"14","14","Focus Features","1.0%","$94.5","7","5","2003"
"15","15","Sony Classics","0.4%","$41.0","29","22","2003"
"16","16","Rogue Pictures","0.3%","$30.6","2","2","2003"
"17","17","Dimension Films","0.2%","$20.8","4","1","2003"
"18","18","Giant Screen Films","0.2%","$16.6","2","0","2003"
"19","19","IMAX","0.2%","$15.0","7","1","2003"
"20","20","IDP","0.2%","$14.6","11","9","2003"
"21","21","Alliance","0.2%","$14.1","10","8","2003"
"22","22","Warner Independent","0.1%","$12.1","6","6","2003"
"23","23","Magnolia","0.1%","$10.5","10","10","2003"
"24","24","Fine Line","0.1%","$10.1","5","4","2003"
"25","25","Captured Light Distribution","0.1%","$10.0","1","1","2003"
"26","26","SK Films","0.1%","$9.7","1","0","2003"
"27","27","Triumph","0.1%","$9.2","1","1","2003"
"28","28","IFC","0.1%","$8.2","10","10","2003"
"29","29","ThinkFilm","0.1%","$7.0","13","11","2003"
"30","30","Christal Films","0.1%","$6.4","8","7","2003"
"31","31","Paramount Classics","0.1%","$6.3","10","9","2003"
"32","32","Televisa Cine","0.0%","$4.2","1","1","2003"
"33","33","Yash Raj","0.0%","$4.0","4","3","2003"
"34","34","Mulberry Square","0.0%","$3.8","1","1","2003"
"35","35","Eros","0.0%","$3.3","8","7","2003"
"36","36","New Yorker","0.0%","$2.9","9","5","2003"
"37","37","Wellspring","0.0%","$2.8","14","11","2003"
"38","38","Film Foundry","0.0%","$2.7","1","1","2003"
"39","39","N Wave","0.0%","$2.6","3","0","2003"
"40","40","Odeon","0.0%","$2.6","3","1","2003"
"41","41","TVA","0.0%","$2.6","3","2","2003"
"42","42","Excel","0.0%","$2.5","3","2","2003"
"43","43","Zeitgeist","0.0%","$2.4","7","7","2003"
"44","44","UTV Communications","0.0%","$1.8","3","3","2003"
"45","45","Luke Films","0.0%","$1.8","1","1","2003"
"46","46","Mongrel Media","0.0%","$1.6","1","1","2003"
"47","47","Halestorm","0.0%","$1.5","3","3","2003"
"48","48","Rialto","0.0%","$1.3","4","3","2003"
"49","49","Innovation Film Group","0.0%","$1.3","8","7","2003"
"50","50","Arenas Entertainment","0.0%","$1.1","2","2","2003"
"51","51","Zee TV","0.0%","$1.0","2","2","2003"
"52","52","TLA Releasing","0.0%","$998k","7","6","2003"
"53","53","Cinema Libre","0.0%","$936k","4","4","2003"
"54","54","Kino","0.0%","$915k","10","8","2003"
"55","55","Empire","0.0%","$856k","8","5","2003"
"56","56","Regent Releasing","0.0%","$820k","8","8","2003"
"57","57","Strand","0.0%","$725k","22","15","2003"
"58","58","Rainbow Releasing","0.0%","$654k","2","1","2003"
"59","59","Mormon Movies","0.0%","$556k","1","0","2003"
"60","60","P &amp; A Releasing","0.0%","$527k","1","1","2003"
"61","61","Palm","0.0%","$506k","16","12","2003"
"62","62","First Run","0.0%","$477k","17","11","2003"
"63","63","Vitagraph","0.0%","$447k","6","5","2003"
"64","64","Net Effect","0.0%","$425k","2","2","2003"
"65","65","Artistic License","0.0%","$406k","5","3","2003"
"66","66","Shadow Dist.","0.0%","$396k","4","0","2003"
"67","67","Indican","0.0%","$376k","8","5","2003"
"68","68","MAC Releasing","0.0%","$352k","2","2","2003"
"69","69","Dada Films","0.0%","$348k","2","2","2003"
"70","70","Seville","0.0%","$336k","2","2","2003"
"71","71","First Look","0.0%","$305k","4","3","2003"
"72","72","Cinema Service","0.0%","$298k","1","1","2003"
"73","73","Slugger Pictures","0.0%","$295k","1","1","2003"
"74","74","Emerging Pictures","0.0%","$275k","2","2","2003"
"75","75","Shakey","0.0%","$256k","1","1","2003"
"76","76","Tartan","0.0%","$248k","4","4","2003"
"77","77","Menemsha","0.0%","$237k","1","0","2003"
"78","78","Wild Rose","0.0%","$235k","1","1","2003"
"79","79","Unico Entertainment","0.0%","$201k","1","1","2003"
"80","80","RBC Radio","0.0%","$193k","1","1","2003"
"81","81","Lantern Lane","0.0%","$185k","2","2","2003"
"82","82","Koch Lorber Films","0.0%","$166k","1","1","2003"
"83","83","Cinema Guild","0.0%","$161k","3","3","2003"
"84","84","Gatekeeper","0.0%","$147k","1","0","2003"
"85","85","Unitel Pictures","0.0%","$133k","1","1","2003"
"86","86","Pak Films / Shotwell Media","0.0%","$131k","1","1","2003"
"87","87","7th Art","0.0%","$111k","1","1","2003"
"88","88","Non-Fiction Films","0.0%","$111k","1","1","2003"
"89","89","Slowhand Cinema","0.0%","$109k","1","1","2003"
"90","90","Panorama","0.0%","$106k","3","2","2003"
"91","91","Rainbow Films","0.0%","$98.3k","1","1","2003"
"92","92","Northern Arts","0.0%","$95.2k","2","2","2003"
"93","93","Citizens United","0.0%","$93.0k","1","1","2003"
"94","94","Wolfe Releasing","0.0%","$84.6k","3","3","2003"
"95","95","Picture This!","0.0%","$84.6k","3","3","2003"
"96","96","Norador Productions","0.0%","$82.9k","1","1","2003"
"97","97","Painted Zebra Releasing","0.0%","$81.3k","1","1","2003"
"98","98","K Film","0.0%","$80.0k","1","1","2003"
"99","99","Sister Films","0.0%","$79.8k","1","0","2003"
"100","100","Cristal","0.0%","$78.7k","1","1","2003"
"101","101","Every Tribe","0.0%","$67.4k","1","1","2003"
"102","102","Castle Hill","0.0%","$66.3k","3","2","2003"
"103","103","Abramorama","0.0%","$65.5k","2","2","2003"
"104","104","Mela Films","0.0%","$64.9k","1","1","2003"
"105","105","Icarus Films","0.0%","$63.4k","3","3","2003"
"106","106","Animation Show","0.0%","$62.2k","1","0","2003"
"107","107","Pathfinder","0.0%","$58.2k","1","1","2003"
"108","108","Artmattan Prods.","0.0%","$55.4k","4","3","2003"
"109","109","ISA Releasing","0.0%","$44.3k","1","1","2003"
"110","110","Jujitsu Films","0.0%","$39.9k","1","1","2003"
"111","111","Echelon Ent.","0.0%","$37.6k","3","3","2003"
"112","112","Avatar","0.0%","$35.5k","3","3","2003"
"113","113","Small Planet","0.0%","$31.0k","2","2","2003"
"114","114","Zion","0.0%","$29.8k","2","2","2003"
"115","115","Screen Media","0.0%","$28.3k","3","3","2003"
"116","116","Organic Pictures","0.0%","$27.2k","2","2","2003"
"117","117","Artrution","0.0%","$25.3k","1","1","2003"
"118","118","RKO","0.0%","$25.0k","1","1","2003"
"119","119","Magic Lamp","0.0%","$21.6k","1","1","2003"
"120","120","Sag Harbor Basement","0.0%","$20.4k","1","1","2003"
"121","121","Spit N' Glue","0.0%","$19.4k","1","0","2003"
"122","122","Small Island","0.0%","$16.7k","1","0","2003"
"123","123","Slamdance on the Road","0.0%","$16.3k","1","1","2003"
"124","124","Palo Alto Pictures","0.0%","$15.7k","1","1","2003"
"125","125","Hannover House","0.0%","$15.2k","1","1","2003"
"126","126","Illuminare Entertainment","0.0%","$14.2k","1","1","2003"
"127","127","Cinema Four","0.0%","$13.9k","3","3","2003"
"128","128","Film Movement","0.0%","$13.0k","1","1","2003"
"129","129","Big Ain't Bad Prods.","0.0%","$12.3k","1","1","2003"
"130","130","Prime Media Pictures","0.0%","$12.1k","1","1","2003"
"131","131","Rogue Arts","0.0%","$11.6k","1","1","2003"
"132","132","Random Productions","0.0%","$10.4k","1","1","2003"
"133","133","Lifesize","0.0%","$10.3k","1","1","2003"
"134","134","Atopia","0.0%","$9.1k","1","1","2003"
"135","135","CAVU","0.0%","$8.4k","1","0","2003"
"136","136","Cafe Entertainment Studio","0.0%","$7.6k","1","1","2003"
"137","137","Films Philos","0.0%","$7.0k","1","0","2003"
"138","138","Burton/Floyd","0.0%","$6.9k","1","1","2003"
"139","139","Sundance Film Series","0.0%","$6.6k","1","1","2003"
"140","140","Roxie","0.0%","$4.7k","1","0","2003"
"141","141","Leisure Time","0.0%","$3.9k","2","2","2003"
"142","142","Milestone","0.0%","$3.7k","1","1","2003"
"143","143","Plexifilm","0.0%","$3.6k","1","1","2003"
"144","144","Facets","0.0%","$2.8k","1","1","2003"
"145","145","Watch Releasing","0.0%","$2.6k","1","1","2003"
"146","146","RMH Media","0.0%","$2.5k","1","1","2003"
"147","147","Tag Entertainment","0.0%","$2.5k","1","1","2003"
"148","148","Five Sisters","0.0%","$2.4k","1","0","2003"
"149","149","Arab Film Dist.","0.0%","$1.7k","1","1","2003"
"150","150","Visionbox","0.0%","$1.6k","1","1","2003"
"151","151","Kathi Arts","0.0%","$1.4k","1","1","2003"
"152","152","Maxmedia/Endgame Pictures","0.0%","$0.9k","1","1","2003"
"153","153","Manhattan","0.0%","$0.0k","1","0","2003"
