"No.","Rank","Title","Studio","WorldWide","Domestic","%","Overseas","%","Years"
"1","5","Iron Man 3","BV","1215.4","409.0","33.7","806.4","66.3","2013"
"2","27","Despicable Me 2","Uni.","916.1","366.0","40.0","550.1","60.0","2013"
"3","43","Fast &amp; Furious 6","Uni.","788.7","238.7","30.3","550.0","69.7","2013"
"4","53","Monsters University","BV","743.4","268.3","36.1","475.1","63.9","2013"
"5","65","Man of Steel","WB","662.8","291.0","43.9","371.8","56.1","2013"
"6","85","The Croods","Fox","587.2","187.2","31.9","400.0","68.1","2013"
"7","102","World War Z","Par.","540.0","202.4","37.5","337.6","62.5","2013"
"8","106","Gravity","WB","528.2","241.8","45.8","286.4","54.2","2013"
"9","113","Thor: The Dark World","BV","504.2","152.0","30.1","352.2","69.9","2013"
"10","118","Oz The Great and Powerful","BV","493.3","234.9","47.6","258.4","52.4","2013"
"11","135","Star Trek Into Darkness","Par.","467.4","228.8","49.0","238.6","51.0","2013"
"12","168","The Wolverine","Fox","414.8","132.5","31.9","282.3","68.1","2013"
"13","175","Pacific Rim","WB","407.6","101.8","25.0","305.8","75.0","2013"
"14","197","G.I. Joe: Retaliation","Par.","375.7","122.5","32.6","253.2","67.4","2013"
"15","232","Now You See Me","LG/S","351.7","117.7","33.5","234.0","66.5","2013"
"16","235","The Hangover Part III","WB","351.0","112.2","32.0","238.8","68.0","2013"
"17","239","The Great Gatsby (2013)","WB","348.8","144.8","41.5","204.0","58.5","2013"
"18","244","The Smurfs 2","Sony","346.6","71.0","20.5","275.6","79.5","2013"
"19","279","The Conjuring","WB","316.7","137.4","43.4","179.3","56.6","2013"
"20","297","A Good Day to Die Hard","Fox","304.7","67.3","22.1","237.3","77.9","2013"
"21","335","Oblivion","Uni.","286.2","89.1","31.1","197.1","68.9","2013"
"22","338","Elysium","TriS","285.0","92.9","32.6","192.0","67.4","2013"
"23","343","Turbo","Fox","277.6","82.9","29.9","194.7","70.1","2013"
"24","366","We're the Millers","WB","266.4","150.1","56.3","116.3","43.7","2013"
"25","378","Epic","Fox","260.8","107.5","41.2","153.2","58.8","2013"
"26","380","The Lone Ranger","BV","260.5","89.3","34.3","171.2","65.7","2013"
"27","404","Grown Ups 2","Sony","246.4","133.7","54.2","112.7","45.8","2013"
"28","414","After Earth","Sony","243.8","60.5","24.8","183.3","75.2","2013"
"29","448","The Heat","Fox","229.7","159.5","69.5","70.1","30.5","2013"
"30","458","Hansel and Gretel: Witch Hunters","Par.","225.7","55.7","24.7","170.0","75.3","2013"
"31","474","Planes","BV","219.4","89.9","41.0","129.5","59.0","2013"
"32","528","White House Down","Sony","205.4","73.1","35.6","132.3","64.4","2013"
"33","546","Cloudy with a Chance of Meatballs 2","Sony","200.3","113.2","56.5","87.1","43.5","2013"
"34","3","Marvel's The Avengers","BV","1518.6","623.4","41.0","895.2","59.0","2012"
"35","8","Skyfall","Sony","1108.6","304.4","27.5","804.2","72.5","2012"
"36","9","The Dark Knight Rises","WB","1084.4","448.1","41.3","636.3","58.7","2012"
"37","16","The Hobbit: An Unexpected Journey","WB","1017.0","303.0","29.8","714.0","70.2","2012"
"38","32","Ice Age: Continental Drift","Fox","877.2","161.3","18.4","715.9","81.6","2012"
"39","36","The Twilight Saga: Breaking Dawn Part 2","LG/S","829.7","292.3","35.2","537.4","64.8","2012"
