"No.","Year","Total Gross","Change","Tickets Sold","Change","# of Movies","Total Screens","Avg. Ticket Price","Avg Cost","#1 Movie"
"1","2013","$9,578.2","-","1,189.8","-","610","-","$8.05","-","Iron Man 3"
"2","2012","$10,836.6","","1,361.4","","663","-","$7.96","-","The Avengers"
"3","2011","$10,174.1","","1,283.0","","601","-","$7.93","-","Harry Potter / Deathly Hallows (P2)"
"4","2010","$10,565.5","","1,339.1","","535","-","$7.89","-","Toy Story 3"
"5","2009","$10,595.5","","1,412.7","","521","-","$7.50","-","Avatar"
"6","2008","$9,630.7","","1,341.3","","608","-","$7.18","-","The Dark Knight"
"7","2007","$9,663.8","","1,404.6","","631","-","$6.88","-","Spider-Man 3"
"8","2006","$9,209.5","","1,406.0","","608","-","$6.55","-","Dead Man's Chest"
"9","2005","$8,840.5","","1,379.2","","547","-","$6.41","-","Revenge of the Sith"
"10","2004","$9,380.5","","1,510.5","","551","-","$6.21","-","Shrek 2"
"11","2003","$9,239.7","","1,532.3","","506","-","$6.03","$63.8","Return of the King"
"12","2002","$9,155.0","","1,575.7","","479","35,592","$5.81","$58.8","Spider-Man"
"13","2001","$8,412.5","","1,487.3","","482","36,764","$5.66","$47.7","Harry Potter / Sorcerer's Stone"
"14","2000","$7,661.0","","1,420.8","","478","37,396","$5.39","$54.8","The Grinch"
"15","1999","$7,448.0","","1,465.2","","461","37,185","$5.08","$51.5","The Phantom Menace"
"16","1998","$6,949.0","","1,480.7","","509","34,186","$4.69","$52.7","Saving Private Ryan"
"17","1997","$6,365.9","","1,387.7","","510","31,640","$4.59","$53.4","Titanic"
"18","1996","$5,911.5","","1,338.6","","471","29,690","$4.42","$39.8","Independence Day"
"19","1995","$5,493.5","","1,262.6","","411","27,805","$4.35","$36.4","Toy Story"
"20","1994","$5,396.2","","1,291.7","","453","26,586","$4.18","$34.3","Forrest Gump"
"21","1993","$5,154.2","","1,244.0","","462","25,737","$4.14","$29.9","Jurassic Park"
"22","1992","$4,871.0","","1,173.2","","480","25,105","$4.15","$28.9","Aladdin"
"23","1991","$4,803.2","","1,140.6","","458","24,570","$4.21","$26.1","Terminator 2"
"24","1990","$5,021.8","","1,188.6","","410","23,689","$4.23","$26.8","Home Alone"
"25","1989","$5,033.4","","1,262.8","","502","23,132","$3.97","$23.5","Batman"
"26","1988","$4,458.4","","1,084.8","","510","23,234","$4.11","$18.1","Rain Man"
"27","1987","$4,252.9","","1,088.5","","509","23,555","$3.91","$20.1","Three Men and a Baby"
"28","1986","$3,778.0","","1,017.2","","451","22,765","$3.71","$17.5","Top Gun"
"29","1985","$3,749.2","","1,056.1","","470","21,147","$3.55","$16.8","Back to the Future"
"30","1984","$4,031.0","","1,199.0","","536","20,200","$3.36","$14.4","Beverly Hills Cop"
"31","1983","$3,766.0","","1,197.0","","495","18,884","$3.15","$11.9","Return of the Jedi"
"32","1982","$3,453.0","","1,175.0","","428","18,020","$2.94","$11.8","E.T."
"33","1981","$2,966.0","","1,067.0","","173","18,040","$2.78","$11.3","Raiders / Lost Ark"
"34","1980","$2,749.0","","1,022.0","","161","17,590","$2.69","$9.4","The Empire Strikes Back"
